,Unnamed: 0,Departamento,Municipio,Cultivo,pH agua:suelo 2.5:1.0,Materia orgánica (MO) %,capacidad de intercambio cationico (CICE) suma de bases cmol(+)/kg,Conductividad electrica (CE) relacion 2.5:1.0 dS/m
20611,20611,CUNDINAMARCA,VIANÍ,Café,7.93,5.99149224236392,46.223018194,0.8158496
20612,20612,SANTANDER,AGUADA,Caña panelera/azucar,6.03,3.35450200795379,10.067025866,0.1727868
20613,20613,SANTANDER,AGUADA,Caña panelera/azucar,6.14,4.38423532828364,13.35324256,0.283750799999999
20614,20614,SANTANDER,AGUADA,Caña panelera/azucar,6.9,4.4503908368822,13.338914842,0.269483999999999
20615,20615,CAUCA,SANTANDER DE QUILICHAO,Piña,4.8,5.42669459813833,4.96510444148334,0.131571599999999
20616,20616,CAUCA,SANTANDER DE QUILICHAO,Piña,4.76,2.33205453658853,4.96009589705711,0.2435924
20617,20617,CAUCA,SANTANDER DE QUILICHAO,Piña,4.41,4.75153926075225,4.45891874193654,0.3767492
20618,20618,CUNDINAMARCA,APULO,Aguacate,4.93,12.0131020621349,3.8148938981047,0.8068668
20619,20619,CUNDINAMARCA,JERUSALÉN,Mango,6.78,2.26891051222868,26.92477086,0.9812388
20620,20620,CUNDINAMARCA,LA PALMA,Cacao,5.48,2.82506364985967,2.820649376,0.1564064
20621,20621,CUNDINAMARCA,LA PALMA,Cacao,4.35,5.02539003716827,13.7895939503696,0.2330244
20622,20622,CUNDINAMARCA,LA PALMA,Cacao,5.18,5.94340700670762,10.792065355442,0.310699199999999
20623,20623,CUNDINAMARCA,LA PALMA,Cacao,5.71,5.20267902864016,11.646279702,0.2705408
20624,20624,CUNDINAMARCA,LA PALMA,Cacao,5.37,7.42972019548562,5.15327286857482,0.170144799999999
20625,20625,CUNDINAMARCA,LA PALMA,Cacao,4.83,3.69207967664683,4.8754214847964,0.1357988
20626,20626,CUNDINAMARCA,LA PALMA,Cacao,4.7,3.81836772536653,6.17705910240666,0.214002
20627,20627,CUNDINAMARCA,LA PALMA,Cacao,5.16,23.5016229988188,5.75176246082813,0.2092464
20628,20628,CUNDINAMARCA,LA PALMA,Cacao,5.55,4.6853837521537,15.301202992,0.2731828
20629,20629,CUNDINAMARCA,LA PALMA,Cacao,5.4,5.32896707735985,13.5701731729159,0.2420072
20630,20630,CUNDINAMARCA,LA PALMA,Cacao,5.94,1.42679589812497,5.822177392,0.0972256
20631,20631,CUNDINAMARCA,LA PALMA,Cacao,5.1,4.34052023449606,6.62911156397779,0.10568
20632,20632,CUNDINAMARCA,CABRERA,Tomate de arbol,5.6,16.1271781108113,6.182113252,0.3492724
20633,20633,ANTIOQUIA,YARUMAL,Pastos-raigrás,5.06,4.68295513583216,4.1883774945431,0.1516508
20634,20634,ANTIOQUIA,YARUMAL,Pastos-raigrás,5.41,6.31741392022366,8.21112415042623,0.202905599999999
20635,20635,ANTIOQUIA,YARUMAL,Pastos-raigrás,4.65,7.13300804409624,4.35179105583659,0.177014
20636,20636,ANTIOQUIA,YARUMAL,Pastos-raigrás,5.28,6.38541517722657,2.75360785983183,0.165917599999999
20637,20637,ANTIOQUIA,YARUMAL,Pastos-raigrás,5.24,8.09516106758557,3.60745569599259,0.1738436
20638,20638,BOYACÁ,SIMIJACA,Avena,6.47,3.51191797901176,13.275067986,0.36988
20639,20639,BOLÍVAR,MAGANGUÉ,agrosilvopastoril,6.62,1.11,6.08,0.35
20640,20640,CUNDINAMARCA,TOPAIPÍ,Cacao,4.57,3.16271025950479,8.12454556051093,0.1178332
20641,20641,CUNDINAMARCA,LA PALMA,Cacao,4.85,2.43400932652195,13.9540865900558,0.186525199999999
20642,20642,CUNDINAMARCA,LA PALMA,Cacao,4.97,2.55504778657673,8.81959779206991,0.112020799999999
20643,20643,CUNDINAMARCA,LA PALMA,Cacao,6.12,4.90912232600944,21.761825986,0.1960364
20644,20644,CUNDINAMARCA,TOPAIPÍ,Cacao,4.22,3.12812784234628,6.32207206174667,0.1706732
20645,20645,CUNDINAMARCA,LA PALMA,Cacao,4.71,3.29115923752211,14.5557119184607,0.207132799999999
20646,20646,CUNDINAMARCA,LA PALMA,Cacao,4.43,5.51925497159169,12.0820742910499,0.2974892
20647,20647,CUNDINAMARCA,LA PALMA,Cacao,3.92,3.22782401066895,28.8908532665296,4.935256
20648,20648,CUNDINAMARCA,TOPAIPÍ,Cacao,4.53,3.49618356781898,8.67273822473377,0.1183616
20649,20649,CUNDINAMARCA,LA PALMA,Cacao,4.44,5.2574166702487,11.9839895443218,0.29062
20650,20650,CUNDINAMARCA,LA PALMA,Cacao,5.65,2.42412863590523,6.190912136,0.1516508
20651,20651,CUNDINAMARCA,LA PALMA,Cacao,4.96,6.6317219281278,8.10553857601503,0.191809199999999
20652,20652,CÓRDOBA,MONTERÍA,No indica,5.97,1.39162469700297,4.325175742,0.2092464
20653,20653,CÓRDOBA,MONTERÍA,No indica,8.04,4.88283968896897,67.807157744,0.7017152
20654,20654,CÓRDOBA,MONTERÍA,No indica,6.04,1.3743052578791,8.087682072,0.235137999999999
20655,20655,CUNDINAMARCA,LENGUAZAQUE,Alfalfa,5.49,4.47279102837524,8.045937162,0.195508
20656,20656,CAUCA,POPAYÁN,Aguacate,5.94,14.1706105094006,2.349030488,0.2002636
20657,20657,SANTANDER,BARICHARA,Pastos-Cuba 22,7.71,4.36983988982235,27.581598122,0.2737112
20658,20658,BOYACÁ,MONIQUIRÁ,Forestal-Cedro nogal,5.19,4.16390512670109,3.63227705169708,0.359312
20659,20659,CUNDINAMARCA,FACATATIVÁ,Pastos,5.76,12.82,11.092643448,0.9210012
20660,20660,META,LA MACARENA,Ahuyama,5.3,1.81136386297028,7.68301194372753,0.3799196
20661,20661,CAUCA,SANTANDER DE QUILICHAO,Piña,4.35,4.48623066026151,4.59312334214303,0.290091599999999
20662,20662,CUNDINAMARCA,VERGARA,Cacao,5.26,6.48186850694967,6.44214601689191,0.214002
20663,20663,CUNDINAMARCA,VERGARA,Cacao,4.92,5.24625992822212,6.96804567638551,0.4021124
20664,20664,CUNDINAMARCA,VERGARA,Cacao,5.19,2.84688047883257,7.15083418762348,0.205547599999999
20665,20665,CUNDINAMARCA,VERGARA,Cacao,5.83,15.5307377821085,6.78201032799999,0.7904864
20666,20666,CUNDINAMARCA,VERGARA,Cacao,5.05,4.92912039301538,5.86448679759326,0.1511224
20667,20667,CUNDINAMARCA,VERGARA,Cacao,4.81,3.18911532005688,5.52807488048494,0.2689556
20668,20668,CUNDINAMARCA,VERGARA,Cacao,5.09,5.33725435843849,6.38299344467112,0.169616399999999
20669,20669,CUNDINAMARCA,VERGARA,Cacao,5.51,23.442464030395,3.245667034,0.2372516
20670,20670,CUNDINAMARCA,VERGARA,Cacao,4.99,15.942607308351,8.22887973235944,0.3239092
20671,20671,BOYACÁ,CIÉNEGA,Uchuva,5.63,11.3428867527189,21.459922982,1.72118759999999
20672,20672,ANTIOQUIA,GUARNE,Hortalizas,5.24,18.6245484094651,5.32571108683562,0.3146904
20673,20673,CUNDINAMARCA,EL PEÑÓN,Lulo,5.22,9.66188438398492,6.80662835400438,0.5742168
20674,20674,CUNDINAMARCA,YACOPÍ,Cacao,4.26,6.66876971920125,6.94788256540281,0.2462344
20675,20675,CUNDINAMARCA,YACOPÍ,Cacao,4.8,3.44178730860656,8.34023561689996,0.0
20676,20676,CUNDINAMARCA,YACOPÍ,Cacao,4.86,8.77480850396678,5.35841258374732,0.214002
20677,20677,CUNDINAMARCA,YACOPÍ,Cacao,5.17,1.3206083181356,11.6651092331846,0.1062084
20678,20678,BOLÍVAR,MAGANGUÉ,agrosilvopastoril,5.08,0.59,1.99977889,0.14
20679,20679,CUNDINAMARCA,YACOPÍ,Cacao,4.18,5.54746438197299,11.088848435444,0.3413464
20680,20680,CUNDINAMARCA,YACOPÍ,Cacao,4.2,6.67910433060427,8.2534180247277,0.3978852
20681,20681,CUNDINAMARCA,YACOPÍ,Cacao,4.6,4.99972997761264,10.6523169085991,0.3772776
20682,20682,CUNDINAMARCA,YACOPÍ,Cacao,4.47,2.71836451039478,10.2638237351685,0.1595768
20683,20683,CUNDINAMARCA,YACOPÍ,Cacao,4.2,8.399817129208,10.1466569979791,0.5305136
20684,20684,CUNDINAMARCA,YACOPÍ,Cacao,4.06,5.10824339734441,11.400954930475,0.2885064
20685,20685,CUNDINAMARCA,YACOPÍ,Cacao,4.89,3.04390476959008,9.87018082360957,0.235137999999999
20686,20686,CUNDINAMARCA,YACOPÍ,Cacao,4.5,9.87544461838899,9.88694095198608,0.5426668
20687,20687,CUNDINAMARCA,YACOPÍ,Cacao,8.21,5.09015782738911,3.497270064,0.7138684
20688,20688,CUNDINAMARCA,YACOPÍ,Cacao,4.08,5.06173764603079,15.7092060811913,0.2155872
20689,20689,CUNDINAMARCA,YACOPÍ,Cacao,4.36,4.94547326774676,12.1713821606748,0.2161156
20690,20690,CUNDINAMARCA,BOGOTÁ.  D.C.,Maíz,5.4,13.1825202673571,3.8031637292606,0.5030368
20691,20691,CUNDINAMARCA,BOGOTÁ.  D.C.,Maíz,5.51,13.7147527546129,12.205941862,1.7474188
